store,date,year,month,week,quarter,month_fac,is_holiday,type,size,total_weekly_sales,temperature,fuel_price,cpi,unemployment
1,2010-02-05,2010,2,5,1,Feb,FALSE,A,151315,1643690.9,42.31,2.572,211.0963582,8.106
1,2010-02-12,2010,2,6,1,Feb,TRUE,A,151315,1641957.4399999997,38.51,2.548,211.2421698,8.106
1,2010-02-19,2010,2,7,1,Feb,FALSE,A,151315,1611968.17,39.93,2.514,211.2891429,8.106
1,2010-02-26,2010,2,8,1,Feb,FALSE,A,151315,1409727.5900000003,46.63,2.561,211.3196429,8.106
1,2010-03-05,2010,3,9,1,Mar,FALSE,A,151315,1554806.68,46.5,2.625,211.3501429,8.106
1,2010-03-12,2010,3,10,1,Mar,FALSE,A,151315,1439541.5900000005,57.79,2.667,211.3806429,8.106
1,2010-03-19,2010,3,11,1,Mar,FALSE,A,151315,1472515.7899999998,54.58,2.72,211.215635,8.106
1,2010-03-26,2010,3,12,1,Mar,FALSE,A,151315,1404429.9200000004,51.45,2.732,211.0180424,8.106
1,2010-04-02,2010,4,13,2,Apr,FALSE,A,151315,1594968.2799999998,62.27,2.719,210.8204499,7.808
1,2010-04-09,2010,4,14,2,Apr,FALSE,A,151315,1545418.5300000005,65.86,2.77,210.6228574,7.808
1,2010-04-16,2010,4,15,2,Apr,FALSE,A,151315,1466058.28,66.32,2.808,210.4887,7.808
1,2010-04-23,2010,4,16,2,Apr,FALSE,A,151315,1391256.12,64.84,2.795,210.4391228,7.808
1,2010-04-30,2010,4,17,2,Apr,FALSE,A,151315,1425100.7100000002,67.41,2.78,210.3895456,7.808
1,2010-05-07,2010,5,18,2,May,FALSE,A,151315,1603955.1200000003,72.55,2.835,210.3399684,7.808
1,2010-05-14,2010,5,19,2,May,FALSE,A,151315,1494251.5000000002,74.78,2.854,210.3374261,7.808
1,2010-05-21,2010,5,20,2,May,FALSE,A,151315,1399662.0700000003,76.44,2.826,210.6170934,7.808
1,2010-05-28,2010,5,21,2,May,FALSE,A,151315,1432069.9500000002,80.44,2.759,210.8967606,7.808
1,2010-06-04,2010,6,22,2,Jun,FALSE,A,151315,1615524.71,80.69,2.705,211.1764278,7.808
1,2010-06-11,2010,6,23,2,Jun,FALSE,A,151315,1542561.09,80.43,2.668,211.4560951,7.808
1,2010-06-18,2010,6,24,2,Jun,FALSE,A,151315,1503284.0599999998,84.11,2.637,211.4537719,7.808
1,2010-06-25,2010,6,25,2,Jun,FALSE,A,151315,1422711.5999999996,84.34,2.653,211.3386526,7.808
1,2010-07-02,2010,7,26,3,Jul,FALSE,A,151315,1492418.1399999997,80.91,2.669,211.2235333,7.787
1,2010-07-09,2010,7,27,3,Jul,FALSE,A,151315,1546074.1799999997,80.48,2.642,211.108414,7.787
1,2010-07-16,2010,7,28,3,Jul,FALSE,A,151315,1448938.9200000002,83.15,2.623,211.1003854,7.787
1,2010-07-23,2010,7,29,3,Jul,FALSE,A,151315,1385065.2000000004,83.36,2.608,211.2351443,7.787
1,2010-07-30,2010,7,30,3,Jul,FALSE,A,151315,1371986.6,81.84,2.64,211.3699032,7.787
1,2010-08-06,2010,8,31,3,Aug,FALSE,A,151315,1605491.7799999998,87.16,2.627,211.5046621,7.787
1,2010-08-13,2010,8,32,3,Aug,FALSE,A,151315,1508237.7600000005,87,2.692,211.6394211,7.787
1,2010-08-20,2010,8,33,3,Aug,FALSE,A,151315,1513080.49,86.65,2.664,211.6033633,7.787
1,2010-08-27,2010,8,34,3,Aug,FALSE,A,151315,1449142.9200000004,85.22,2.619,211.5673056,7.787
1,2010-09-03,2010,9,35,3,Sep,FALSE,A,151315,1540163.53,81.21,2.577,211.5312479,7.787
1,2010-09-10,2010,9,36,3,Sep,TRUE,A,151315,1507460.6900000002,78.69,2.565,211.4951902,7.787
1,2010-09-17,2010,9,37,3,Sep,FALSE,A,151315,1430378.67,82.11,2.582,211.5224596,7.787
1,2010-09-24,2010,9,38,3,Sep,FALSE,A,151315,1351791.03,80.94,2.624,211.5972246,7.787
1,2010-10-01,2010,10,39,4,Oct,FALSE,A,151315,1453329.4999999998,71.89,2.603,211.6719895,7.838
1,2010-10-08,2010,10,40,4,Oct,FALSE,A,151315,1508239.93,63.93,2.633,211.7467544,7.838
1,2010-10-15,2010,10,41,4,Oct,FALSE,A,151315,1459409.0999999996,67.18,2.72,211.8137436,7.838
1,2010-10-22,2010,10,42,4,Oct,FALSE,A,151315,1345454,69.86,2.725,211.8612937,7.838
1,2010-10-29,2010,10,43,4,Oct,FALSE,A,151315,1384209.2200000002,69.64,2.716,211.9088438,7.838
1,2010-11-05,2010,11,44,4,Nov,FALSE,A,151315,1551659.2799999993,58.74,2.689,211.9563939,7.838
1,2010-11-12,2010,11,45,4,Nov,FALSE,A,151315,1494479.4899999998,59.61,2.728,212.003944,7.838
1,2010-11-19,2010,11,46,4,Nov,FALSE,A,151315,1483784.1800000006,51.41,2.771,211.8896737,7.838
1,2010-11-26,2010,11,47,4,Nov,TRUE,A,151315,1955624.1099999996,64.52,2.735,211.7484333,7.838
