store,horizon,RMSE,MAE
20,1,313821.7449559857,177599.95824779887
20,2,332423.2007282327,190760.8283979636
20,3,364850.1444725008,203155.02626610847
20,4,384441.4026064456,201547.00208608626
20,5,397812.7129912518,199677.7720137438
20,6,387338.744924853,202161.8664175058
20,7,407135.9988290915,196837.754848701
20,8,426278.9371543808,195711.59270637337
20,9,466077.18387076206,203132.19876222187
20,10,477007.19012484705,208831.03409515784
20,11,510984.26297722606,214212.16306183557
20,12,539071.9631474564,215565.97793378404
4,1,280338.4992217821,146446.84293762254
4,2,292430.17647454666,153789.0741356438
4,3,326005.281563905,167777.17775000515
4,4,339810.4459066016,171905.54598479916
4,5,362291.38290572196,180073.19505491835
4,6,356868.40751133667,180091.2081470247
4,7,360192.36291268456,181151.74247026004
4,8,367547.10981386213,179134.03542927885
4,9,393883.1758083166,180805.68671461396
4,10,412264.2870226865,188906.56014600632
4,11,433080.8470826704,193848.58674598456
4,12,449495.80283576756,200321.30989911716
14,1,299801.2177226213,190954.91722000838
14,2,314289.818954333,199121.94360508115
14,3,321572.2619789478,208014.2794008151
14,4,322514.536177192,211221.12363869068
14,5,333980.3326927919,218109.17825499605
14,6,325657.14122866146,218680.15463337515
14,7,322448.0871423565,217883.35293754016
14,8,314920.91390685836,210751.04146082004
14,9,318183.8879016687,215770.66822453437
14,10,312352.68494185584,213635.78322980998
14,11,310193.5119969149,216565.71206929645
14,12,309957.10811716394,216582.65961232173
13,1,306283.2557184408,151753.3170005626
13,2,333640.4190330204,161610.98447852806
13,3,355029.8457548472,168942.32962316668
13,4,368568.0908664916,169849.41358909203
13,5,393213.73704401753,170621.5008256656
13,6,401567.66055094934,169812.79591868806
13,7,415218.54805786075,168820.7087991105
13,8,436062.67102771456,172272.93889404766
13,9,469537.988172263,174229.3799632611
13,10,489425.76165352535,177223.8559416146
13,11,518561.0250021826,179388.2296269516
13,12,545788.952089109,180080.5668657034
2,1,264068.8352781214,147869.53630058374
2,2,268201.4341270255,157436.6217666577
2,3,281421.5218041079,167039.37759755616
2,4,267843.0190446573,160374.30294506982
2,5,277880.4848708379,166489.1488262807
2,6,273646.48555406654,167601.9392031668
2,7,265832.9343254209,159658.67007332083
2,8,266986.6809102611,157608.79810798255
2,9,272223.3058278139,160975.45479561866
2,10,270260.4972609569,162039.62588105755
2,11,265917.1669208527,156778.29071872192
2,12,266925.0761507521,156644.6899615676
10,1,307115.6884510478,160294.36400807987
10,2,303557.6143380151,173635.52362033975
10,3,319732.3274381134,187125.85995602154
10,4,310994.6339481626,188273.48140151793
10,5,332383.59058620577,195996.29738520025
10,6,334423.51607361314,196989.00706281903
10,7,328919.5386535109,188202.49349385482
10,8,336046.76883080875,190156.3071768865
10,9,338893.8858300139,193984.76483398656
10,10,341293.6289158202,197660.78601059114
10,11,339122.3458431898,194148.7976990147
10,12,343801.76636992086,194614.83915964005
27,1,240653.5051022064,153186.03803798722
27,2,250470.33397967994,163002.5904358566
27,3,254419.4894357957,169549.40967324196
27,4,250239.72748024724,168679.71359500743
27,5,253268.7604848722,169870.45121451537
27,6,246798.4959136444,168309.5619906735
27,7,248422.95771397484,171584.29398113734
27,8,245379.1370623651,168984.06334448245
27,9,247028.15079572645,170727.05250173353
27,10,247537.5143836267,170048.2005318493
27,11,248947.98108516564,171854.38595447034
27,12,249627.33617328195,172787.4566797064
6,1,210618.04370465636,122756.89172268182
6,2,228261.18103044113,133083.1817041201
6,3,236873.8425616579,143579.6832433062
6,4,241195.25004643708,147451.7851002736
6,5,250313.20613262872,151911.8970945805
6,6,245843.846653929,151168.92475422696
6,7,245971.13645821152,149527.79536754798
6,8,246589.60270031143,147217.0546650903
6,9,243497.8927270779,147145.00779131628
6,10,239997.52120043203,145971.83111496278
6,11,235061.60424328735,138825.18970304486
6,12,226953.27987079797,133109.25932611874
1,1,157009.81465537936,95970.48617849403
1,2,160301.59731453247,100069.74963259914
1,3,161183.49816141446,98660.55217409744
1,4,159077.76711384786,96203.61832979444
1,5,161381.99644886336,99604.53622806813
1,6,158703.4936448664,99649.3880236729
1,7,157847.10440330094,98483.47863374864
1,8,156815.57291372327,94619.39921659758
1,9,159809.2962364134,98572.71639970844
1,10,163371.31485542865,101919.93423829062
1,11,163204.21979200796,101815.54654097102
1,12,162153.9350106069,99825.16667551856
39,1,229691.86397988597,123158.89538173699
39,2,236895.92189366833,126680.3435521697
39,3,256910.5639859779,139040.31294894774
39,4,242898.62581031202,134068.03720951005
39,5,270015.49572430685,148966.18692560476
39,6,264278.2011846498,147981.16817793038
39,7,259344.24730959765,146809.22579820768
39,8,252306.7375483942,143427.8007644504
39,9,272825.3260982956,150071.5398125287
39,10,259013.5398202851,146105.6508865721
39,11,255416.49782688345,144250.0213780128
39,12,251754.758614015,140799.67106382982
