store,RMSE,MAE,model,h
20,417270.29056525277,200766.0979031067,ARIMA,12
4,364517.3149216568,177020.9137846062,ARIMA,12
14,317155.9585634471,211440.90119060743,ARIMA,12
13,419408.16291420185,170383.83512719933,ARIMA,12
2,270100.6201729062,160043.03801479866,ARIMA,12
10,328023.7754398685,188423.543483996,ARIMA,12
27,248566.11580088222,168215.2681617218,ARIMA,12
6,237598.0339441557,142645.70846560586,ARIMA,12
1,160071.63421253208,98782.88102263008,ARIMA,12
39,254279.31498302266,140946.57115829177,ARIMA,12
